id,A,B,Res
0,3.532,4.7845,F
1,3.534,4.7766,F
2,3.537,4.8124,F
3,3.547,4.8304,F
4,3.541,4.8081,F
5,3.561,4.8324,F
6,3.567,4.8253,F
7,3.559,4.8118,F
8,3.547,4.8114,F
9,3.537,4.7972,F
10,3.546,4.7852,F
11,3.554,4.8122,F
12,3.535,4.823,F
13,3.533,4.8325,F
14,3.535,4.836,F
15,3.528,4.8242,F
16,3.52,4.8401,T
17,3.532,4.8741,F
18,3.526,4.8709,F
19,3.529,4.8727,F
20,3.524,4.8516,F
21,3.518,4.8429,F
22,3.519,4.803,T
23,3.527,4.7666,F
24,3.533,4.7726,F
25,3.532,4.7667,T
26,3.531,4.7705,T
27,3.537,4.7792,F
28,3.536,4.7421,F
29,3.535,4.7351,F
30,3.534,4.7337,F
31,3.531,4.7399,F
32,3.532,4.7458,F
33,3.519,4.7339,F
34,3.524,4.7606,F
35,3.522,4.7541,F
36,3.544,4.7958,F
37,3.569,4.8063,F
38,3.559,4.8029,F
39,3.563,4.8156,F
40,3.542,4.7987,F
41,3.541,4.8163,F
42,3.534,4.8041,F
43,3.523,4.7969,T
44,3.53,4.7781,F
45,3.523,4.7818,F
46,3.522,4.7857,F
47,3.524,4.7897,F
48,3.517,4.8031,T
49,3.503,4.8063,F
50,3.495,4.805,F
51,3.503,4.8224,F
52,3.507,4.83,F
53,3.503,4.8225,F
54,3.507,4.8339,F
55,3.511,4.8326,F
56,3.505,4.8193,F
57,3.514,4.8075,F
58,3.518,4.796,F
59,3.503,4.7968,T
60,3.488,4.77,F
61,3.492,4.782,F
62,3.492,4.8174,F
63,3.478,4.788,F
64,3.471,4.7819,F
65,3.486,4.773,F
66,3.504,4.7775,F
67,3.502,4.7685,F
68,3.501,4.7769,T
69,3.507,4.7665,T
70,3.503,4.7634,F
71,3.497,4.7582,F
72,3.488,4.7674,F
73,3.489,4.7695,F
74,3.483,4.7407,T
75,3.492,4.7516,F
76,3.489,4.7448,T
77,3.493,4.7317,F
78,3.498,4.7325,F
79,3.49,4.7323,F
80,3.486,4.7553,F
81,3.483,4.7658,F
82,3.489,4.7705,F
83,3.494,4.7661,F
84,3.49,4.7589,F
85,3.492,4.7492,T
86,3.498,4.7385,T
87,3.521,4.75,F
88,3.531,4.7756,F
89,3.539,4.7837,F
90,3.549,4.7955,F
91,3.533,4.7937,T
92,3.525,4.8048,F
93,3.516,4.8069,F
94,3.523,4.798,F
95,3.513,4.8022,F
96,3.506,4.8013,F
97,3.509,4.8085,F
98,3.512,4.8226,F
99,3.511,4.8258,F
100,3.517,4.8203,F
101,3.51,4.8108,F
102,3.505,4.8173,F
103,3.517,4.836,T
104,3.521,4.8333,F
105,3.517,4.8031,F
106,3.496,4.7979,F
107,3.492,4.8078,F
108,3.488,4.7998,F
109,3.487,4.7895,T
110,3.475,4.7789,F
111,3.459,4.801,T
112,3.474,4.8217,F
113,3.473,4.8126,F
114,3.471,4.8139,F
115,3.465,4.8348,F
116,3.471,4.8176,F
117,3.462,4.8131,F
118,3.462,4.8172,T
119,3.484,4.7982,F
120,3.479,4.7961,F
121,3.488,4.8011,F
122,3.49,4.8185,F
123,3.489,4.8147,F
124,3.504,4.822,F
125,3.498,4.8088,T
126,3.487,4.8124,F
127,3.476,4.7953,F
128,3.475,4.7916,F
129,3.472,4.775,T
130,3.476,4.764,F
131,3.493,4.7954,F
132,3.48,4.7937,F
133,3.482,4.8066,F
134,3.467,4.8071,F
135,3.461,4.81,T
136,3.47,4.7978,F
137,3.474,4.8104,F
138,3.484,4.8134,F
139,3.489,4.8289,F
140,3.477,4.8071,F
141,3.47,4.8014,F
142,3.484,4.8313,F
143,3.468,4.806,F
144,3.466,4.8025,F
145,3.454,4.793,F
146,3.458,4.7908,F
147,3.458,4.7983,F
148,3.449,4.8047,T
149,3.447,4.804,F
150,3.452,4.7713,F
151,3.456,4.754,F
152,3.457,4.7399,F
153,3.457,4.7409,F
154,3.455,4.7182,F
155,3.461,4.7479,F
156,3.454,4.7389,F
157,3.468,4.7526,F
158,3.488,4.7692,F
159,3.487,4.766,F
160,3.49,4.7533,F
161,3.478,4.745,F
162,3.487,4.7464,F
163,3.476,4.7333,F
164,3.475,4.7283,F
165,3.476,4.734,T
166,3.473,4.7261,F
167,3.472,4.7253,F
168,3.464,4.7277,F
169,3.461,4.7114,F
170,3.462,4.6888,F
171,3.461,4.6899,F
172,3.461,4.6819,T
173,3.452,4.6862,T
174,3.459,4.6825,F
175,3.453,4.6845,F
176,3.458,4.6905,F
177,3.445,4.6941,F
178,3.443,4.686,T
179,3.453,4.6934,T
180,3.433,4.6765,F
181,3.441,4.6819,T
182,3.432,4.6734,T
183,3.434,4.6785,F
184,3.438,4.6939,F
185,3.426,4.6924,F
186,3.426,4.6816,F
187,3.424,4.6747,F
188,3.419,4.6454,F
189,3.422,4.6535,F
190,3.429,4.6624,F
191,3.436,4.677,T
192,3.429,4.6696,F
193,3.428,4.6643,F
194,3.423,4.6658,F
195,3.405,4.6298,T
196,3.408,4.6128,F
197,3.41,4.613,F
198,3.421,4.6298,F
199,3.421,4.6232,F
200,3.418,4.6095,T
201,3.411,4.5944,F
202,3.402,4.5837,T
203,3.426,4.6137,T
204,3.427,4.6043,F
205,3.426,4.6029,T
206,3.429,4.5956,F
207,3.429,4.5899,F
208,3.415,4.57,F
209,3.419,4.5875,T
210,3.427,4.5725,F
211,3.45,4.616,F
212,3.476,4.6498,T
213,3.472,4.6493,F
214,3.483,4.6462,T
215,3.493,4.6674,F
216,3.47,4.6422,F
217,3.467,4.6364,F
218,3.503,4.6903,F
219,3.523,4.7017,F
220,3.533,4.6927,T
221,3.536,4.6903,F
222,3.519,4.6764,F
223,3.543,4.6765,F
224,3.572,4.7157,F
225,3.571,4.7092,F
226,3.56,4.6939,F
227,3.568,4.7054,F
228,3.579,4.7018,T
229,3.578,4.6917,T
230,3.579,4.7052,F
231,3.582,4.6707,F
232,3.606,4.6645,F
233,3.6,4.6615,F
234,3.609,4.6536,F
235,3.614,4.6802,F
236,3.628,4.6886,F
237,3.636,4.7006,F
238,3.626,4.6862,F
239,3.641,4.7132,F
240,3.649,4.7275,F
241,3.649,4.7014,F
242,3.643,4.6972,F
243,3.658,4.6974,T
244,3.658,4.7126,F
245,3.686,4.6818,F
246,3.695,4.6486,F
247,3.672,4.6241,F
248,3.644,4.6065,F
249,3.67,4.6063,F
250,3.708,4.67,F
251,3.737,4.7272,F
252,3.722,4.7194,F
253,3.737,4.7335,F
254,3.743,4.7498,T
255,3.729,4.7163,F
256,3.71,4.7434,F
257,3.746,4.7841,F
258,3.731,4.7577,F
259,3.742,4.7519,F
260,3.767,4.7725,F
261,3.793,4.7931,F
262,3.788,4.8058,F
